"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "so" "rcpos" "region"
"1612" 22 "e1" 4 "a" "2" "的" "-" 1019 -0.5 "3" "de"
"1623" 22 "e1" 14 "c" "2" "的" "-" 590 0.5 "3" "de"
"1637" 22 "e1" 8 "a" "2" "的" "-" 621 -0.5 "3" "de"
"1650" 22 "e1" 20 "a" "2" "的" "-" 363 -0.5 "3" "de"
"1661" 22 "e1" 10 "c" "2" "的" "-" 399 0.5 "3" "de"
"1671" 22 "e1" 6 "c" "2" "的" "-" 333 0.5 "3" "de"
"1681" 22 "e1" 2 "c" "2" "的" "-" 364 0.5 "3" "de"
"1691" 22 "e1" 18 "c" "2" "的" "-" 369 0.5 "3" "de"
"1701" 23 "e1" 7 "a" "2" "的" "-" 631 -0.5 "3" "de"
"1714" 23 "e1" 11 "a" "3" "的" "-" 625 -0.5 "3" "de"
"1725" 23 "e1" 5 "c" "2" "的" "-" 671 0.5 "3" "de"
"1735" 23 "e1" 13 "c" "3" "的" "-" 686 0.5 "3" "de"
"1745" 23 "e1" 9 "c" "2" "的" "-" 570 0.5 "3" "de"
"1756" 23 "e1" 3 "a" "2" "的" "-" 565 -0.5 "3" "de"
"1766" 23 "e1" 19 "a" "2" "的" "-" 525 -0.5 "3" "de"
"1776" 23 "e1" 1 "c" "2" "的" "-" 555 0.5 "3" "de"
"1787" 23 "e1" 17 "c" "2" "的" "-" 525 0.5 "3" "de"
"1799" 23 "e1" 15 "a" "2" "的" "-" 550 -0.5 "3" "de"
"1811" 24 "e1" 6 "a" "2" "的" "-" 646 -0.5 "3" "de"
"1821" 24 "e1" 20 "c" "2" "的" "-" 661 0.5 "3" "de"
"1832" 24 "e1" 12 "c" "2" "的" "-" 424 0.5 "3" "de"
"1846" 24 "e1" 18 "a" "2" "的" "-" 1241 -0.5 "3" "de"
"1856" 24 "e1" 10 "a" "2" "的" "-" 621 -0.5 "3" "de"
"1866" 24 "e1" 8 "c" "2" "的" "-" 379 0.5 "3" "de"
"1879" 24 "e1" 2 "a" "2" "的" "-" 626 -0.5 "3" "de"
"1889" 24 "e1" 4 "c" "2" "的" "-" 596 0.5 "3" "de"
"1901" 24 "e1" 14 "a" "2" "的" "-" 545 -0.5 "3" "de"
"1915" 24 "e1" 16 "c" "2" "的" "-" 338 0.5 "3" "de"
"1927" 25 "e1" 7 "c" "2" "的" "-" 344 0.5 "3" "de"
"1939" 25 "e1" 17 "a" "2" "的" "-" 357 -0.5 "3" "de"
"1952" 25 "e1" 13 "a" "3" "的" "-" 252 -0.5 "3" "de"
"1962" 25 "e1" 5 "a" "2" "的" "-" 312 -0.5 "3" "de"
"1971" 25 "e1" 15 "c" "2" "的" "-" 283 0.5 "3" "de"
