"subj" "item" "condition" "rt" "rcpos"
"40785" "39.dat" 21 "c" 709 "3"
"40786" "39.dat" 21 "c" 596 "4"
"40787" "39.dat" 21 "c" 2303 "5"
"409041" "39.dat" 20 "b" 645 "1"
"40905" "39.dat" 20 "b" 1804 "2"
"40906" "39.dat" 20 "b" 1260 "3"
"40907" "39.dat" 20 "b" 1005 "4"
"40908" "39.dat" 20 "b" 952 "5"
"409311" "39.dat" 3 "a" 451 "1"
"409321" "39.dat" 3 "a" 491 "2"
"409331" "39.dat" 3 "a" 377 "3"
"409341" "39.dat" 3 "a" 355 "4"
"409351" "39.dat" 3 "a" 349 "5"
"40980" "39.dat" 23 "a" 1238 "1"
"40981" "39.dat" 23 "a" 653 "2"
"40982" "39.dat" 23 "a" 453 "3"
"40983" "39.dat" 23 "a" 579 "4"
"40984" "39.dat" 23 "a" 626 "5"
"41063" "39.dat" 1 "c" 626 "1"
"41064" "39.dat" 1 "c" 1134 "2"
"41065" "39.dat" 1 "c" 488 "3"
"41066" "39.dat" 1 "c" 885 "4"
"41067" "39.dat" 1 "c" 571 "5"
"41117" "39.dat" 12 "b" 368 "1"
"41118" "39.dat" 12 "b" 568 "2"
"41119" "39.dat" 12 "b" 451 "3"
"41120" "39.dat" 12 "b" 447 "4"
"41121" "39.dat" 12 "b" 939 "5"
"41161" "39.dat" 15 "a" 473 "1"
"41162" "39.dat" 15 "a" 571 "2"
"41163" "39.dat" 15 "a" 439 "3"
"41164" "39.dat" 15 "a" 1047 "4"
"41165" "39.dat" 15 "a" 564 "5"
"41233" "39.dat" 2 "d" 358 "1"
"41234" "39.dat" 2 "d" 1374 "2"
"41235" "39.dat" 2 "d" 530 "3"
"41236" "39.dat" 2 "d" 755 "4"
"41237" "39.dat" 2 "d" 854 "5"
"41306" "4.dat" 6 "a" 633 "1"
"41307" "4.dat" 6 "a" 1220 "2"
"41308" "4.dat" 6 "a" 479 "3"
"41309" "4.dat" 6 "a" 1627 "4"
"41310" "4.dat" 6 "a" 633 "5"
"41345" "4.dat" 21 "d" 1311 "1"
"41346" "4.dat" 21 "d" 1040 "2"
"41347" "4.dat" 21 "d" 904 "3"
"41348" "4.dat" 21 "d" 3298 "4"
"41349" "4.dat" 21 "d" 408 "5"
"413861" "4.dat" 15 "b" 1429 "1"
"413871" "4.dat" 15 "b" 769 "2"
"413881" "4.dat" 15 "b" 498 "3"
"41389" "4.dat" 15 "b" 1175 "4"
"41390" "4.dat" 15 "b" 3479 "5"
"41444" "4.dat" 5 "d" 678 "1"
"41445" "4.dat" 5 "d" 678 "2"
"41446" "4.dat" 5 "d" 543 "3"
"41447" "4.dat" 5 "d" 453 "4"
"41448" "4.dat" 5 "d" 453 "5"
"41474" "4.dat" 22 "a" 571 "1"
"41475" "4.dat" 22 "a" 498 "2"
"41476" "4.dat" 22 "a" 318 "3"
"41477" "4.dat" 22 "a" 1401 "4"
"41478" "4.dat" 22 "a" 436 "5"
"41567" "4.dat" 16 "c" 2621 "1"
"41568" "4.dat" 16 "c" 842 "2"
"41569" "4.dat" 16 "c" 679 "3"
"41570" "4.dat" 16 "c" 543 "4"
"41571" "4.dat" 16 "c" 950 "5"
"41641" "4.dat" 1 "d" 1763 "1"
"41642" "4.dat" 1 "d" 707 "2"
"41643" "4.dat" 1 "d" 453 "3"
"41644" "4.dat" 1 "d" 1582 "4"
"41645" "4.dat" 1 "d" 769 "5"
"416951" "4.dat" 11 "b" 498 "1"
"416961" "4.dat" 11 "b" 453 "2"
"416971" "4.dat" 11 "b" 363 "3"
"416981" "4.dat" 11 "b" 543 "4"
"416991" "4.dat" 11 "b" 1582 "5"
"41725" "4.dat" 23 "b" 634 "1"
"41726" "4.dat" 23 "b" 1492 "2"
"41727" "4.dat" 23 "b" 751 "3"
"41728" "4.dat" 23 "b" 1790 "4"
"41729" "4.dat" 23 "b" 453 "5"
"417661" "4.dat" 4 "c" 678 "1"
"417671" "4.dat" 4 "c" 453 "2"
"417681" "4.dat" 4 "c" 453 "3"
"417691" "4.dat" 4 "c" 2215 "4"
"417701" "4.dat" 4 "c" 408 "5"
"41792" "4.dat" 17 "d" 408 "1"
"41793" "4.dat" 17 "d" 995 "2"
"41794" "4.dat" 17 "d" 363 "3"
"41795" "4.dat" 17 "d" 1537 "4"
"41796" "4.dat" 17 "d" 408 "5"
"41837" "4.dat" 10 "a" 525 "1"
"41838" "4.dat" 10 "a" 1402 "2"
"41839" "4.dat" 10 "a" 318 "3"
"41840" "4.dat" 10 "a" 318 "4"
"41841" "4.dat" 10 "a" 543 "5"
"41874" "4.dat" 8 "c" 633 "1"
"41875" "4.dat" 8 "c" 1249 "2"
"41876" "4.dat" 8 "c" 408 "3"
"41877" "4.dat" 8 "c" 1537 "4"
"41878" "4.dat" 8 "c" 363 "5"
"41930" "4.dat" 12 "c" 318 "1"
"41931" "4.dat" 12 "c" 363 "2"
"41932" "4.dat" 12 "c" 859 "3"
"41933" "4.dat" 12 "c" 453 "4"
"41934" "4.dat" 12 "c" 633 "5"
"419861" "4.dat" 18 "a" 498 "1"
"419871" "4.dat" 18 "a" 453 "2"
"419881" "4.dat" 18 "a" 498 "3"
"419891" "4.dat" 18 "a" 390 "4"
"419901" "4.dat" 18 "a" 498 "5"
"42095" "4.dat" 14 "a" 769 "1"
"42096" "4.dat" 14 "a" 1040 "2"
"42097" "4.dat" 14 "a" 543 "3"
"42098" "4.dat" 14 "a" 453 "4"
"42099" "4.dat" 14 "a" 4521 "5"
"42116" "4.dat" 24 "c" 1023 "1"
"42117" "4.dat" 24 "c" 814 "2"
"42118" "4.dat" 24 "c" 408 "3"
"42119" "4.dat" 24 "c" 2532 "4"
"42120" "4.dat" 24 "c" 318 "5"
"42156" "4.dat" 19 "b" 1267 "1"
"42157" "4.dat" 19 "b" 634 "2"
"421581" "4.dat" 19 "b" 679 "3"
"421591" "4.dat" 19 "b" 2216 "4"
"421601" "4.dat" 19 "b" 408 "5"
"42206" "4.dat" 9 "d" 498 "1"
"42207" "4.dat" 9 "d" 3708 "2"
"42208" "4.dat" 9 "d" 363 "3"
"42209" "4.dat" 9 "d" 995 "4"
"42210" "4.dat" 9 "d" 318 "5"
"422391" "4.dat" 2 "a" 634 "1"
"422401" "4.dat" 2 "a" 543 "2"
"422411" "4.dat" 2 "a" 408 "3"
"422421" "4.dat" 2 "a" 3843 "4"
"422431" "4.dat" 2 "a" 2576 "5"
"42295" "4.dat" 3 "b" 391 "1"
"42296" "4.dat" 3 "b" 408 "2"
"42297" "4.dat" 3 "b" 408 "3"
"42298" "4.dat" 3 "b" 408 "4"
"42299" "4.dat" 3 "b" 453 "5"
"42348" "4.dat" 7 "b" 498 "1"
"42349" "4.dat" 7 "b" 679 "2"
"42350" "4.dat" 7 "b" 363 "3"
"42351" "4.dat" 7 "b" 3165 "4"
"42352" "4.dat" 7 "b" 435 "5"
"42409" "4.dat" 20 "c" 2713 "1"
"42410" "4.dat" 20 "c" 453 "2"
"42411" "4.dat" 20 "c" 363 "3"
"42412" "4.dat" 20 "c" 2759 "4"
"42413" "4.dat" 20 "c" 363 "5"
"42457" "4.dat" 13 "d" 679 "1"
"42458" "4.dat" 13 "d" 453 "2"
"42459" "4.dat" 13 "d" 408 "3"
"42460" "4.dat" 13 "d" 3102 "4"
"424611" "4.dat" 13 "d" 363 "5"
"42580" "40.dat" 15 "b" 681 "1"
"42581" "40.dat" 15 "b" 580 "2"
"42582" "40.dat" 15 "b" 349 "3"
"42583" "40.dat" 15 "b" 318 "4"
"42584" "40.dat" 15 "b" 450 "5"
"42604" "40.dat" 5 "d" 595 "1"
"42605" "40.dat" 5 "d" 1419 "2"
"42606" "40.dat" 5 "d" 456 "3"
"42607" "40.dat" 5 "d" 392 "4"
"426081" "40.dat" 5 "d" 324 "5"
"42624" "40.dat" 2 "a" 595 "1"
"42625" "40.dat" 2 "a" 380 "2"
"42626" "40.dat" 2 "a" 241 "3"
"42627" "40.dat" 2 "a" 284 "4"
"42628" "40.dat" 2 "a" 509 "5"
"42688" "40.dat" 19 "b" 497 "1"
"42689" "40.dat" 19 "b" 456 "2"
"42690" "40.dat" 19 "b" 334 "3"
"42691" "40.dat" 19 "b" 250 "4"
"42692" "40.dat" 19 "b" 244 "5"
"42711" "40.dat" 8 "c" 1062 "1"
"42712" "40.dat" 8 "c" 558 "2"
"42713" "40.dat" 8 "c" 287 "3"
"42714" "40.dat" 8 "c" 288 "4"
"42715" "40.dat" 8 "c" 1630 "5"
"42799" "40.dat" 20 "c" 1612 "1"
"42800" "40.dat" 20 "c" 555 "2"
"42801" "40.dat" 20 "c" 398 "3"
"42802" "40.dat" 20 "c" 290 "4"
"42803" "40.dat" 20 "c" 2454 "5"
"42834" "40.dat" 18 "a" 3088 "1"
"42835" "40.dat" 18 "a" 462 "2"
"42836" "40.dat" 18 "a" 287 "3"
"42837" "40.dat" 18 "a" 253 "4"
"42838" "40.dat" 18 "a" 582 "5"
"42894" "40.dat" 16 "c" 843 "1"
"42895" "40.dat" 16 "c" 259 "2"
"42896" "40.dat" 16 "c" 539 "3"
"42897" "40.dat" 16 "c" 3017 "4"
"42898" "40.dat" 16 "c" 444 "5"
"42925" "40.dat" 13 "d" 745 "1"
"429261" "40.dat" 13 "d" 339 "2"
"429271" "40.dat" 13 "d" 930 "3"
"429281" "40.dat" 13 "d" 428 "4"
"429291" "40.dat" 13 "d" 634 "5"
"42980" "40.dat" 23 "b" 466 "1"
"42981" "40.dat" 23 "b" 3933 "2"
"42982" "40.dat" 23 "b" 466 "3"
"42983" "40.dat" 23 "b" 478 "4"
"42984" "40.dat" 23 "b" 2030 "5"
"430411" "40.dat" 17 "d" 490 "1"
"430421" "40.dat" 17 "d" 1086 "2"
"430431" "40.dat" 17 "d" 388 "3"
"430441" "40.dat" 17 "d" 585 "4"
"43045" "40.dat" 17 "d" 1723 "5"
"43170" "40.dat" 14 "a" 511 "1"
"43171" "40.dat" 14 "a" 425 "2"
"43172" "40.dat" 14 "a" 548 "3"
"43173" "40.dat" 14 "a" 794 "4"
"43174" "40.dat" 14 "a" 478 "5"
"43205" "40.dat" 4 "c" 1842 "1"
"43206" "40.dat" 4 "c" 407 "2"
"43207" "40.dat" 4 "c" 438 "3"
"43208" "40.dat" 4 "c" 1855 "4"
"43209" "40.dat" 4 "c" 364 "5"
"43257" "40.dat" 7 "b" 721 "1"
"43258" "40.dat" 7 "b" 520 "2"
"43259" "40.dat" 7 "b" 914 "3"
"43260" "40.dat" 7 "b" 420 "4"
"43261" "40.dat" 7 "b" 2460 "5"
"432951" "40.dat" 11 "b" 745 "1"
"43296" "40.dat" 11 "b" 545 "2"
"43297" "40.dat" 11 "b" 315 "3"
"43298" "40.dat" 11 "b" 1394 "4"
"43299" "40.dat" 11 "b" 674 "5"
"43342" "40.dat" 21 "d" 370 "1"
"43343" "40.dat" 21 "d" 1012 "2"
"43344" "40.dat" 21 "d" 336 "3"
"43345" "40.dat" 21 "d" 250 "4"
"43346" "40.dat" 21 "d" 711 "5"
"43364" "40.dat" 1 "d" 361 "1"
"43365" "40.dat" 1 "d" 647 "2"
"43366" "40.dat" 1 "d" 346 "3"
"43367" "40.dat" 1 "d" 317 "4"
"43368" "40.dat" 1 "d" 746 "5"
"434271" "40.dat" 24 "c" 271 "1"
"434281" "40.dat" 24 "c" 548 "2"
"434291" "40.dat" 24 "c" 299 "3"
"434301" "40.dat" 24 "c" 284 "4"
"434311" "40.dat" 24 "c" 505 "5"
"43473" "40.dat" 3 "b" 290 "1"
"43474" "40.dat" 3 "b" 373 "2"
"43475" "40.dat" 3 "b" 235 "3"
"43476" "40.dat" 3 "b" 739 "4"
"43477" "40.dat" 3 "b" 490 "5"
"43496" "40.dat" 9 "d" 852 "1"
"43497" "40.dat" 9 "d" 312 "2"
"43498" "40.dat" 9 "d" 573 "3"
"43499" "40.dat" 9 "d" 327 "4"
"43500" "40.dat" 9 "d" 561 "5"
"435401" "40.dat" 6 "a" 500 "1"
"435411" "40.dat" 6 "a" 274 "2"
"435421" "40.dat" 6 "a" 622 "3"
"435431" "40.dat" 6 "a" 1280 "4"
"435441" "40.dat" 6 "a" 502 "5"
"43563" "40.dat" 12 "c" 343 "1"
"43564" "40.dat" 12 "c" 1133 "2"
"43565" "40.dat" 12 "c" 346 "3"
"43566" "40.dat" 12 "c" 555 "4"
"43567" "40.dat" 12 "c" 441 "5"
"43670" "40.dat" 22 "a" 672 "1"
"43671" "40.dat" 22 "a" 331 "2"
"43672" "40.dat" 22 "a" 250 "3"
"43673" "40.dat" 22 "a" 306 "4"
"43674" "40.dat" 22 "a" 308 "5"
"43730" "40.dat" 10 "a" 321 "1"
"43731" "40.dat" 10 "a" 305 "2"
"43732" "40.dat" 10 "a" 271 "3"
"43733" "40.dat" 10 "a" 373 "4"
"43734" "40.dat" 10 "a" 268 "5"
"43840" "41.dat" 11 "c" 887 "1"
"43841" "41.dat" 11 "c" 1255 "2"
"43842" "41.dat" 11 "c" 1462 "3"
"43843" "41.dat" 11 "c" 1067 "4"
"43844" "41.dat" 11 "c" 463 "5"
"43934" "41.dat" 20 "d" 405 "1"
"43935" "41.dat" 20 "d" 444 "2"
"43936" "41.dat" 20 "d" 471 "3"
"43937" "41.dat" 20 "d" 473 "4"
"43938" "41.dat" 20 "d" 523 "5"
"439881" "41.dat" 3 "c" 523 "1"
"439891" "41.dat" 3 "c" 556 "2"
"439901" "41.dat" 3 "c" 538 "3"
"439911" "41.dat" 3 "c" 1563 "4"
"439921" "41.dat" 3 "c" 515 "5"
"44033" "41.dat" 6 "b" 349 "1"
"44034" "41.dat" 6 "b" 626 "2"
"44035" "41.dat" 6 "b" 446 "3"
"44036" "41.dat" 6 "b" 474 "4"
"44037" "41.dat" 6 "b" 601 "5"
"44096" "41.dat" 12 "d" 476 "1"
"44097" "41.dat" 12 "d" 686 "2"
"44098" "41.dat" 12 "d" 565 "3"
"44099" "41.dat" 12 "d" 1097 "4"
"44100" "41.dat" 12 "d" 384 "5"
"44129" "41.dat" 17 "a" 593 "1"
"44130" "41.dat" 17 "a" 622 "2"
"44131" "41.dat" 17 "a" 699 "3"
"44132" "41.dat" 17 "a" 686 "4"
"44133" "41.dat" 17 "a" 510 "5"
"44170" "41.dat" 4 "d" 643 "1"
"44171" "41.dat" 4 "d" 823 "2"
"44172" "41.dat" 4 "d" 413 "3"
"44173" "41.dat" 4 "d" 1904 "4"
"44174" "41.dat" 4 "d" 587 "5"
"44192" "41.dat" 19 "c" 629 "1"
"44193" "41.dat" 19 "c" 841 "2"
"44194" "41.dat" 19 "c" 558 "3"
"44195" "41.dat" 19 "c" 629 "4"
"44196" "41.dat" 19 "c" 579 "5"
"44237" "41.dat" 1 "a" 842 "1"
"44238" "41.dat" 1 "a" 923 "2"
"44239" "41.dat" 1 "a" 809 "3"
"44240" "41.dat" 1 "a" 1067 "4"
"44241" "41.dat" 1 "a" 855 "5"
"442621" "41.dat" 7 "c" 578 "1"
"44263" "41.dat" 7 "c" 582 "2"
"44264" "41.dat" 7 "c" 579 "3"
"44265" "41.dat" 7 "c" 515 "4"
"44266" "41.dat" 7 "c" 587 "5"
"443091" "41.dat" 24 "d" 811 "1"
"443101" "41.dat" 24 "d" 716 "2"
"443111" "41.dat" 24 "d" 474 "3"
"443121" "41.dat" 24 "d" 4053 "4"
"443131" "41.dat" 24 "d" 456 "5"
"443841" "41.dat" 16 "d" 552 "1"
"443851" "41.dat" 16 "d" 499 "2"
"443861" "41.dat" 16 "d" 814 "3"
"443871" "41.dat" 16 "d" 603 "4"
"443881" "41.dat" 16 "d" 543 "5"
"44403" "41.dat" 5 "a" 344 "1"
"44404" "41.dat" 5 "a" 570 "2"
"44405" "41.dat" 5 "a" 361 "3"
"44406" "41.dat" 5 "a" 399 "4"
"44407" "41.dat" 5 "a" 450 "5"
"444661" "41.dat" 15 "c" 486 "1"
"444671" "41.dat" 15 "c" 560 "2"
"444681" "41.dat" 15 "c" 1568 "3"
"444691" "41.dat" 15 "c" 602 "4"
"44470" "41.dat" 15 "c" 529 "5"
"445431" "41.dat" 18 "b" 379 "1"
"445441" "41.dat" 18 "b" 385 "2"
"44545" "41.dat" 18 "b" 316 "3"
"44546" "41.dat" 18 "b" 381 "4"
"44547" "41.dat" 18 "b" 432 "5"
"44564" "41.dat" 13 "a" 317 "1"
"44565" "41.dat" 13 "a" 426 "2"
"44566" "41.dat" 13 "a" 389 "3"
"44567" "41.dat" 13 "a" 452 "4"
"44568" "41.dat" 13 "a" 486 "5"
"44613" "41.dat" 14 "b" 319 "1"
"44614" "41.dat" 14 "b" 414 "2"
"44615" "41.dat" 14 "b" 399 "3"
"44616" "41.dat" 14 "b" 441 "4"
"44617" "41.dat" 14 "b" 484 "5"
"44668" "41.dat" 21 "a" 336 "1"
"44669" "41.dat" 21 "a" 576 "2"
"44670" "41.dat" 21 "a" 477 "3"
"44671" "41.dat" 21 "a" 457 "4"
"44672" "41.dat" 21 "a" 410 "5"
"446931" "41.dat" 9 "a" 633 "1"
"44694" "41.dat" 9 "a" 583 "2"
"44695" "41.dat" 9 "a" 649 "3"
"44696" "41.dat" 9 "a" 495 "4"
"44697" "41.dat" 9 "a" 457 "5"
"44714" "41.dat" 22 "b" 352 "1"
"44715" "41.dat" 22 "b" 529 "2"
"44716" "41.dat" 22 "b" 363 "3"
"44717" "41.dat" 22 "b" 447 "4"
"44718" "41.dat" 22 "b" 453 "5"
"44766" "41.dat" 10 "b" 382 "1"
"44767" "41.dat" 10 "b" 410 "2"
"44768" "41.dat" 10 "b" 481 "3"
"44769" "41.dat" 10 "b" 454 "4"
"44770" "41.dat" 10 "b" 713 "5"
"44841" "41.dat" 2 "b" 305 "1"
"44842" "41.dat" 2 "b" 497 "2"
"44843" "41.dat" 2 "b" 354 "3"
"44844" "41.dat" 2 "b" 388 "4"
"44845" "41.dat" 2 "b" 410 "5"
"449251" "41.dat" 23 "c" 518 "1"
"449261" "41.dat" 23 "c" 711 "2"
"449271" "41.dat" 23 "c" 430 "3"
"44928" "41.dat" 23 "c" 555 "4"
"44929" "41.dat" 23 "c" 499 "5"
"449801" "41.dat" 8 "d" 454 "1"
"449811" "41.dat" 8 "d" 412 "2"
"449821" "41.dat" 8 "d" 416 "3"
"449831" "41.dat" 8 "d" 454 "4"
"449841" "41.dat" 8 "d" 567 "5"
"45055" "42.dat" 9 "b" 539 "1"
"45056" "42.dat" 9 "b" 1210 "2"
"45057" "42.dat" 9 "b" 721 "3"
"45058" "42.dat" 9 "b" 3187 "4"
"45059" "42.dat" 9 "b" 568 "5"
"45107" "42.dat" 4 "a" 817 "1"
"45108" "42.dat" 4 "a" 840 "2"
"45109" "42.dat" 4 "a" 425 "3"
"45110" "42.dat" 4 "a" 786 "4"
"45111" "42.dat" 4 "a" 1206 "5"
"45138" "42.dat" 21 "b" 663 "1"
"45139" "42.dat" 21 "b" 2155 "2"
"45140" "42.dat" 21 "b" 669 "3"
"45141" "42.dat" 21 "b" 3361 "4"
"45142" "42.dat" 21 "b" 512 "5"
"45186" "42.dat" 17 "b" 667 "1"
"45187" "42.dat" 17 "b" 421 "2"
"45188" "42.dat" 17 "b" 350 "3"
"45189" "42.dat" 17 "b" 331 "4"
"45190" "42.dat" 17 "b" 351 "5"
"45260" "42.dat" 7 "d" 563 "1"
"45261" "42.dat" 7 "d" 465 "2"
"45262" "42.dat" 7 "d" 446 "3"
"45263" "42.dat" 7 "d" 5671 "4"
"45264" "42.dat" 7 "d" 933 "5"
"45287" "42.dat" 13 "b" 389 "1"
"45288" "42.dat" 13 "b" 390 "2"
"45289" "42.dat" 13 "b" 331 "3"
"45290" "42.dat" 13 "b" 295 "4"
"45291" "42.dat" 13 "b" 558 "5"
"45359" "42.dat" 14 "c" 2040 "1"
"45360" "42.dat" 14 "c" 924 "2"
"45361" "42.dat" 14 "c" 395 "3"
"45362" "42.dat" 14 "c" 315 "4"
"45363" "42.dat" 14 "c" 4167 "5"
"453811" "42.dat" 24 "a" 474 "1"
"453821" "42.dat" 24 "a" 300 "2"
"453831" "42.dat" 24 "a" 302 "3"
"453841" "42.dat" 24 "a" 553 "4"
"453851" "42.dat" 24 "a" 419 "5"
"45477" "42.dat" 19 "d" 761 "1"
"45478" "42.dat" 19 "d" 789 "2"
"45479" "42.dat" 19 "d" 585 "3"
"45480" "42.dat" 19 "d" 4106 "4"
"45481" "42.dat" 19 "d" 494 "5"
"455141" "42.dat" 10 "c" 377 "1"
"455151" "42.dat" 10 "c" 2060 "2"
"455161" "42.dat" 10 "c" 968 "3"
"455171" "42.dat" 10 "c" 382 "4"
"455181" "42.dat" 10 "c" 3851 "5"
"45540" "42.dat" 15 "d" 332 "1"
"45541" "42.dat" 15 "d" 1098 "2"
"45542" "42.dat" 15 "d" 419 "3"
"45543" "42.dat" 15 "d" 652 "4"
"45544" "42.dat" 15 "d" 3524 "5"
"45567" "42.dat" 16 "a" 358 "1"
"45568" "42.dat" 16 "a" 385 "2"
"45569" "42.dat" 16 "a" 857 "3"
"45570" "42.dat" 16 "a" 2076 "4"
"45571" "42.dat" 16 "a" 486 "5"
"45607" "42.dat" 1 "b" 324 "1"
"45608" "42.dat" 1 "b" 832 "2"
"45609" "42.dat" 1 "b" 376 "3"
"45610" "42.dat" 1 "b" 520 "4"
"45611" "42.dat" 1 "b" 677 "5"
"45678" "42.dat" 20 "a" 588 "1"
"45679" "42.dat" 20 "a" 464 "2"
"45680" "42.dat" 20 "a" 320 "3"
"45681" "42.dat" 20 "a" 814 "4"
"45682" "42.dat" 20 "a" 374 "5"
"45753" "42.dat" 18 "c" 729 "1"
"45754" "42.dat" 18 "c" 460 "2"
"45755" "42.dat" 18 "c" 1626 "3"
"45756" "42.dat" 18 "c" 436 "4"
"45757" "42.dat" 18 "c" 682 "5"
"45787" "42.dat" 23 "d" 356 "1"
"45788" "42.dat" 23 "d" 551 "2"
"45789" "42.dat" 23 "d" 546 "3"
"45790" "42.dat" 23 "d" 1941 "4"
"45791" "42.dat" 23 "d" 461 "5"
"458741" "42.dat" 6 "c" 335 "1"
"458751" "42.dat" 6 "c" 695 "2"
"45876" "42.dat" 6 "c" 320 "3"
"45877" "42.dat" 6 "c" 1176 "4"
"45878" "42.dat" 6 "c" 409 "5"
"45903" "42.dat" 12 "a" 646 "1"
"45904" "42.dat" 12 "a" 381 "2"
"45905" "42.dat" 12 "a" 342 "3"
"45906" "42.dat" 12 "a" 326 "4"
"45907" "42.dat" 12 "a" 699 "5"
"46023" "42.dat" 22 "c" 384 "1"
"46024" "42.dat" 22 "c" 341 "2"
"46025" "42.dat" 22 "c" 362 "3"
"46026" "42.dat" 22 "c" 407 "4"
"46027" "42.dat" 22 "c" 498 "5"
"460441" "42.dat" 5 "b" 496 "1"
"460451" "42.dat" 5 "b" 355 "2"
"460461" "42.dat" 5 "b" 345 "3"
"460471" "42.dat" 5 "b" 319 "4"
"460481" "42.dat" 5 "b" 2186 "5"
"46071" "42.dat" 2 "c" 880 "1"
"46072" "42.dat" 2 "c" 474 "2"
"46073" "42.dat" 2 "c" 351 "3"
"46074" "42.dat" 2 "c" 3576 "4"
"46075" "42.dat" 2 "c" 442 "5"
"46104" "42.dat" 3 "d" 3051 "1"
"46105" "42.dat" 3 "d" 889 "2"
"46106" "42.dat" 3 "d" 391 "3"
"46107" "42.dat" 3 "d" 2448 "4"
"46108" "42.dat" 3 "d" 370 "5"
"46138" "42.dat" 11 "d" 334 "1"
"46139" "42.dat" 11 "d" 1264 "2"
"46140" "42.dat" 11 "d" 542 "3"
"46141" "42.dat" 11 "d" 1334 "4"
"46142" "42.dat" 11 "d" 384 "5"
"46205" "42.dat" 8 "a" 494 "1"
"46206" "42.dat" 8 "a" 770 "2"
"46207" "42.dat" 8 "a" 414 "3"
"46208" "42.dat" 8 "a" 1623 "4"
"46209" "42.dat" 8 "a" 609 "5"
"463161" "43.dat" 13 "c" 555 "1"
"463171" "43.dat" 13 "c" 1325 "2"
"463181" "43.dat" 13 "c" 437 "3"
"463191" "43.dat" 13 "c" 1606 "4"
"463201" "43.dat" 13 "c" 817 "5"
"46357" "43.dat" 3 "a" 533 "1"
"46358" "43.dat" 3 "a" 427 "2"
"46359" "43.dat" 3 "a" 344 "3"
"463601" "43.dat" 3 "a" 305 "4"
"463611" "43.dat" 3 "a" 563 "5"
"46393" "43.dat" 15 "a" 420 "1"
"46394" "43.dat" 15 "a" 557 "2"
"46395" "43.dat" 15 "a" 345 "3"
"46396" "43.dat" 15 "a" 647 "4"
"46397" "43.dat" 15 "a" 960 "5"
"46542" "43.dat" 8 "b" 1079 "1"
"46543" "43.dat" 8 "b" 1137 "2"
"46544" "43.dat" 8 "b" 994 "3"
"46545" "43.dat" 8 "b" 1107 "4"
"46546" "43.dat" 8 "b" 1374 "5"
"46576" "43.dat" 9 "c" 839 "1"
"46577" "43.dat" 9 "c" 846 "2"
"46578" "43.dat" 9 "c" 485 "3"
"46579" "43.dat" 9 "c" 1953 "4"
"46580" "43.dat" 9 "c" 498 "5"
"46646" "43.dat" 1 "c" 893 "1"
"46647" "43.dat" 1 "c" 1137 "2"
"46648" "43.dat" 1 "c" 569 "3"
"46649" "43.dat" 1 "c" 1062 "4"
"46650" "43.dat" 1 "c" 509 "5"
"46669" "43.dat" 6 "d" 733 "1"
"46670" "43.dat" 6 "d" 637 "2"
"46671" "43.dat" 6 "d" 388 "3"
"46672" "43.dat" 6 "d" 4989 "4"
"46673" "43.dat" 6 "d" 644 "5"
"46706" "43.dat" 17 "c" 458 "1"
"46707" "43.dat" 17 "c" 474 "2"
"46708" "43.dat" 17 "c" 378 "3"
"46709" "43.dat" 17 "c" 536 "4"
"46710" "43.dat" 17 "c" 529 "5"
"467551" "43.dat" 19 "a" 465 "1"
"46756" "43.dat" 19 "a" 1518 "2"
"46757" "43.dat" 19 "a" 408 "3"
"46758" "43.dat" 19 "a" 417 "4"
"46759" "43.dat" 19 "a" 412 "5"
"46780" "43.dat" 22 "d" 626 "1"
"46781" "43.dat" 22 "d" 761 "2"
"46782" "43.dat" 22 "d" 445 "3"
"46783" "43.dat" 22 "d" 512 "4"
"46784" "43.dat" 22 "d" 2040 "5"
"46853" "43.dat" 14 "d" 1311 "1"
"46854" "43.dat" 14 "d" 3166 "2"
"46855" "43.dat" 14 "d" 652 "3"
"46856" "43.dat" 14 "d" 355 "4"
"46857" "43.dat" 14 "d" 2284 "5"
"46914" "43.dat" 4 "b" 559 "1"
"46915" "43.dat" 4 "b" 464 "2"
"46916" "43.dat" 4 "b" 752 "3"
"46917" "43.dat" 4 "b" 483 "4"
"46918" "43.dat" 4 "b" 1303 "5"
"46967" "43.dat" 12 "b" 809 "1"
"46968" "43.dat" 12 "b" 423 "2"
"46969" "43.dat" 12 "b" 920 "3"
"46970" "43.dat" 12 "b" 494 "4"
"46971" "43.dat" 12 "b" 1436 "5"
"47001" "43.dat" 7 "a" 357 "1"
"47002" "43.dat" 7 "a" 416 "2"
"47003" "43.dat" 7 "a" 342 "3"
"47004" "43.dat" 7 "a" 350 "4"
"47005" "43.dat" 7 "a" 634 "5"
"47033" "43.dat" 18 "d" 2009 "1"
"47034" "43.dat" 18 "d" 982 "2"
"47035" "43.dat" 18 "d" 402 "3"
"47036" "43.dat" 18 "d" 433 "4"
"47037" "43.dat" 18 "d" 619 "5"
"47144" "43.dat" 5 "c" 494 "1"
"47145" "43.dat" 5 "c" 428 "2"
"47146" "43.dat" 5 "c" 441 "3"
"47147" "43.dat" 5 "c" 455 "4"
"47148" "43.dat" 5 "c" 846 "5"
"47190" "43.dat" 23 "a" 332 "1"
"47191" "43.dat" 23 "a" 437 "2"
"47192" "43.dat" 23 "a" 398 "3"
"47193" "43.dat" 23 "a" 828 "4"
