"subj" "item" "condition" "rt" "rcpos"
"1900" "10.dat" 20 "a" 726 "5"
"19801" "10.dat" 22 "c" 726 "1"
"198110" "10.dat" 22 "c" 771 "2"
"19828" "10.dat" 22 "c" 454 "3"
"19831" "10.dat" 22 "c" 544 "4"
"19841" "10.dat" 22 "c" 409 "5"
"2010" "10.dat" 13 "b" 499 "1"
"2011" "10.dat" 13 "b" 454 "2"
"2012" "10.dat" 13 "b" 409 "3"
"2013" "10.dat" 13 "b" 364 "4"
"2014" "10.dat" 13 "b" 2493 "5"
"2048" "10.dat" 10 "c" 771 "1"
"2049" "10.dat" 10 "c" 571 "2"
"2050" "10.dat" 10 "c" 544 "3"
"2051" "10.dat" 10 "c" 1496 "4"
"2052" "10.dat" 10 "c" 319 "5"
"2098" "10.dat" 6 "c" 439 "1"
"2099" "10.dat" 6 "c" 936 "2"
"2100" "10.dat" 6 "c" 434 "3"
"2101" "10.dat" 6 "c" 578 "4"
"2102" "10.dat" 6 "c" 366 "5"
"2131" "10.dat" 24 "a" 409 "1"
"2132" "10.dat" 24 "a" 364 "2"
"2133" "10.dat" 24 "a" 364 "3"
"2134" "10.dat" 24 "a" 409 "4"
"2135" "10.dat" 24 "a" 1088 "5"
"2210" "10.dat" 14 "c" 1269 "1"
"2211" "10.dat" 14 "c" 635 "2"
"2212" "10.dat" 14 "c" 347 "3"
"2213" "10.dat" 14 "c" 817 "4"
"2214" "10.dat" 14 "c" 319 "5"
"2241" "10.dat" 15 "d" 454 "1"
"2242" "10.dat" 15 "d" 499 "2"
"2243" "10.dat" 15 "d" 364 "3"
"2244" "10.dat" 15 "d" 1406 "4"
"2245" "10.dat" 15 "d" 409 "5"
"2284" "10.dat" 9 "b" 409 "1"
"2285" "10.dat" 9 "b" 409 "2"
"2286" "10.dat" 9 "b" 454 "3"
"2287" "10.dat" 9 "b" 862 "4"
"2288" "10.dat" 9 "b" 499 "5"
"2362" "10.dat" 11 "d" 1088 "1"
"2363" "10.dat" 11 "d" 544 "2"
"2364" "10.dat" 11 "d" 409 "3"
"2365" "10.dat" 11 "d" 771 "4"
"2366" "10.dat" 11 "d" 1768 "5"
"2411" "10.dat" 21 "b" 590 "1"
"2412" "10.dat" 21 "b" 499 "2"
"2413" "10.dat" 21 "b" 499 "3"
"2414" "10.dat" 21 "b" 1555 "4"
"2415" "10.dat" 21 "b" 746 "5"
"2433" "10.dat" 17 "b" 368 "1"
"2434" "10.dat" 17 "b" 537 "2"
"2435" "10.dat" 17 "b" 381 "3"
"2436" "10.dat" 17 "b" 1043 "4"
"2437" "10.dat" 17 "b" 365 "5"
"2611" "11.dat" 14 "d" 860 "1"
"2612" "11.dat" 14 "d" 3436 "2"
"2613" "11.dat" 14 "d" 453 "3"
